ชื่อสถานที่ (พินอิน),คำอ่านไทย (พินอิน),ค่าเข้าโดยประมาณ (CNY),หมายเหตุ
頑石酒店（解放碑來福士店）,หว๋าน สือ จิ่ว เตี้ยน (เจี่ย ฟ่าง เปย หลาย ฝู ชื่อ เตี้ยน),-,โรงแรม stone ที่พัก
武隆喀斯特旅游区 (天生三桥),อู่หลง คาซึเท่อ ลวื่อโหยวชวือ (เทียนเซิง ซานเฉียว),~95 (ช่วง Low Season พ.ย.),Tiānshēng Sānqiáo - หลุมฟ้า 3 สะพานสวรรค์ (อุทยานแห่งชาติ ระดับ 5A)
解放碑 (Jiěfàngbēi),เจี่ยฟ่างเปย,ฟรี,อนุสาวรีย์/ถนนคนเดิน
洪崖洞 (Hóngyádòng),หงหยาต้ง,ฟรี,วิวกลางคืน/อาหาร
鹅岭公园 (Élíng Gōngyuán),เอ่อหลิ่ง กงหยวน,ฟรี,จุดชมวิวพาโนรามา
罗汉寺 (Luóhàn Sì),หลัวฮั่น ซื่อ,~10,วัดเก่าแก่
湖广会馆 (Húguăng Huìguăn),หูกว่าง ฮุ่ยก่วน,~30 - 40,สมาคมพ่อค้าเก่าแก่
观音桥 (Guānyīnqiáo),กวนยินเฉียว,ฟรี,ย่านช้อปปิ้งใหญ่
南滨路 (Nánbīn Lù),หนานปิน ลู่,ฟรี,จุดชมโดรนโชว์/วิวกลางคืน
新华里 (Xīnhuálĭ),ซินหัวหลี่,ฟรี,ย่านอาหาร/มื้อเย็น
长江索道 (Chángjiāng Suŏdào),ฉางเจียง สั่วเต้า,20 (ต่อเที่ยว),กระเช้าข้ามแม่น้ำ
磁器口古镇 (Cíqìkŏu Gŭzhèn),ฉือชี่โข่ว กู่เจิ้น,ฟรี,เมืองโบราณ/ของฝาก
十八梯 (Shíbātī),สือปาที,ฟรี,ย่านบันไดหินเก่า/ถ่ายภาพ
李子坝站 (Lǐzǐbà Zhàn),หลี่จื่อป้า จ้าน,ฟรี,จุดถ่ายภาพรถไฟลอดตึก
三峡博物馆 (Sānxiá Bówùguăn),ซานเสีย โป๋อู้ก่วน,ฟรี,พิพิธภัณฑ์
